,x,y,reads_per_cell,genes_per_cell,cluster_id,cluster_name
356,1506.09913663789,696.641088036268,1160,438,0,HPC
357,1520.02201090892,4769.47526186224,494,231,8,Oligo
358,1540.84967775649,8008.8726702665,371,169,10,Endo
359,1528.68229948934,8828.67141033344,1887,609,7,Astro-1
360,1532.24697244207,2059.66224849814,424,184,11,Astro-2
361,1524.20269231951,12166.5115407075,1140,452,8,Oligo
362,1536.22157663317,2329.62363902848,361,164,8,Oligo
363,1541.56786137831,5303.80326788773,969,381,5,eL6-2
364,1539.01848992795,10191.7317306278,714,338,2,eL4
365,1515.79999341217,10828.6440264831,793,326,2,eL4
366,1515.00340274942,13513.4819994556,867,355,1,eL2/3
367,1545.56086712441,11072.8916958155,684,303,2,eL4
368,1548.23840904842,13149.6076369415,371,190,10,Endo
369,1561.75026226069,2983.68345135064,381,188,10,Endo
370,1554.40034622911,11982.8493527021,757,312,11,Astro-2
371,1560.20720289393,16310.6883711033,668,243,6,Smc
372,1557.63721320943,10464.6355856565,492,223,2,eL4
373,1565.72572499444,12452.2522631261,1169,448,1,eL2/3
374,1580.35919477693,6940.23115705477,751,326,2,eL4
375,1536.96087992828,14193.6292449323,1279,481,7,Astro-1
376,1593.21959316015,3448.62072026865,465,206,8,Oligo
377,1611.48567097889,6273.94828862491,607,266,4,eL6-1
378,1538.37215010501,4153.47572053949,1171,457,5,eL6-2
379,1587.93762613762,4304.52598910933,656,307,4,eL6-1
380,1584.09171493488,4494.03427309674,739,316,11,Astro-2
381,1597.09681490831,7552.24185165937,826,373,3,eL5
382,1603.09219326877,71.0534539033656,626,288,0,HPC
383,1602.23291522491,16225.0959486736,405,204,6,Smc
384,1711.7971742678,4677.46862921927,1214,468,5,eL6-2
385,1615.13012312363,9035.1253162422,449,212,11,Astro-2
386,1625.24952501583,2810.59278024066,264,134,8,Oligo
387,1630.31412737867,754.297013161648,916,398,0,HPC
388,1644.75524646169,1373.96134002649,765,325,3,eL5
389,1650.28806373463,11473.8107528886,406,180,1,eL2/3
390,1628.00846333154,14468.6088219473,841,346,1,eL2/3
391,1615.02882878485,3698.45008055461,868,322,8,Oligo
392,1633.73988463822,7311.8911697345,528,231,4,eL6-1
393,1649.68654923939,3543.32769072401,485,216,8,Oligo
394,1651.05860258748,9451.39635820502,1462,528,7,Astro-1
395,1672.45041635125,10504.4157934579,947,388,2,eL4
396,1668.3425280388,4917.03383601091,555,256,4,eL6-1
397,1643.53700131183,10081.1509761556,801,366,2,eL4
398,1668.7060924457,312.877112836912,659,302,11,Astro-2
399,1688.04702743902,13015.1693597561,574,249,1,eL2/3
400,1678.62264034547,3044.53553362122,379,186,8,Oligo
401,1682.40007320644,5838.44868893917,649,302,5,eL6-2
402,1695.10166577746,11765.1873851443,302,159,10,Endo
403,1626.56819995895,9871.41620105362,962,352,10,Endo
404,1688.73808698332,11193.425016372,595,287,1,eL2/3
405,1740.60248783126,15981.0720930233,245,122,4,eL6-1
406,1687.08761153208,554.56799533695,694,326,12,VIP
407,1696.30333656839,12231.562765637,887,366,2,eL4
408,1708.99115716136,3224.90201420214,310,152,8,Oligo
409,1697.19095875228,13810.5856622595,316,162,1,eL2/3
410,1724.75053856097,2066.2023142734,180,102,-1,
411,1711.90135663371,8330.04184870085,801,336,11,Astro-2
412,1709.45609712551,14046.3863238707,824,379,1,eL2/3
413,1729.41222381419,2460.27637433074,665,247,14,SST
414,1701.93488646234,6089.63159200893,678,306,5,eL6-2
415,1718.03162939297,10635.461199858,929,374,2,eL4
416,1758.18657808805,7408.57257065646,628,294,3,eL5
417,1729.90839171489,57.8328510508681,415,211,0,HPC
418,1757.54987853022,14312.0975554206,216,116,1,eL2/3
419,1747.1622731642,13501.8907984038,1001,439,1,eL2/3
420,1764.3357650921,14450.4094929783,696,358,1,eL2/3
421,1732.85082366221,6404.20797911743,644,284,4,eL6-1
422,1755.39909662339,4396.28361603336,747,339,15,Reln
423,1740.13720911507,5172.55918350914,429,247,3,eL5
424,1751.55336492891,8000.80136492891,701,329,3,eL5
425,1807.39895401449,11593.6949782373,1611,512,7,Astro-1
426,1738.58395692645,16342.6172659244,593,257,6,Smc
427,1775.3867746501,235.481640194999,777,354,0,HPC
428,1814.10726318697,700.383540458437,663,298,0,HPC
429,1773.97702469845,3566.79745835727,265,156,8,Oligo
430,1759.92960058973,6531.45915426887,959,383,4,eL6-1
431,1811.5081396387,8170.90354453737,961,405,3,eL5
432,1820.65588062431,447.021680924705,870,376,0,HPC
433,1808.22731231493,2685.20745514719,354,170,8,Oligo
434,1784.84696310843,3087.05330340861,299,170,8,Oligo
435,1780.54073147399,3664.88108028553,240,138,8,Oligo
436,1809.37807145167,10858.0453039121,515,229,2,eL4
437,1799.16484419757,12560.1092734202,1437,487,13,PVALB
438,1848.77406173133,84.065857335555,787,350,0,HPC
439,1808.69556497561,10201.5999361867,404,213,1,eL2/3
440,1812.28943119722,10028.1838673621,272,133,2,eL4
441,1819.00148305085,16447.2581214689,378,172,6,Smc
442,1826.48484512046,5040.42677917176,702,365,5,eL6-2
443,1839.52971335353,11188.979336596,382,195,3,eL5
444,1828.42782121601,14070.2080756214,384,216,1,eL2/3
445,1851.51205554501,8408.42041170568,1248,492,7,Astro-1
446,1849.72977994302,2173.89228355559,562,258,12,VIP
447,1865.74645548938,12317.5604543298,1074,414,2,eL4
448,1864.29682610639,3136.92430338251,285,160,8,Oligo
449,1840.75074587804,10700.354357498,299,152,2,eL4
450,1867.94862001546,13288.1312690401,475,228,1,eL2/3
451,1862.05472210316,5239.02336048007,108,69,-1,
452,1861.61868102288,5540.99458950202,939,390,5,eL6-2
453,1885.99262719907,16367.6952332287,202,145,6,Smc
454,1878.67331838565,13875.4717488789,264,152,12,VIP
455,1859.22522692533,9165.33834047291,1541,514,7,Astro-1
456,1884.00939418201,3295.59589004537,288,143,8,Oligo
457,1891.96620642307,3649.31764436647,243,132,11,Astro-2
458,1882.41312591152,14383.2478366553,511,249,1,eL2/3
459,1857.58454167391,8609.61524960073,1542,578,7,Astro-1
460,1873.60448644596,8928.33954149075,1245,444,7,Astro-1
461,1891.51836562763,12900.9291491154,426,204,8,Oligo
462,1900.73351357378,6181.27710574725,1018,421,5,eL6-2
463,1849.44796440728,9417.53868832248,548,299,3,eL5
464,2000.49836046026,4156.89882549335,544,221,11,Astro-2
465,1926.8516953317,5755.00737100737,292,160,9,Micro
466,1921.31666858657,14737.1322716277,435,248,1,eL2/3
467,1916.33244743482,6615.26368376787,854,341,5,eL6-2
468,1911.64571737004,12089.5705225517,605,322,1,eL2/3
469,1918.66061151783,259.272677445876,786,343,0,HPC
470,1953.91053716706,13488.4131004123,1122,453,7,Astro-1
471,1987.95790242122,3180.50459301618,931,347,8,Oligo
472,1942.32741537442,2906.39935172566,464,201,8,Oligo
473,1948.52798270758,4973.37493538837,782,356,5,eL6-2
474,1968.0704233459,6822.52608858319,906,399,4,eL6-1
475,1960.32314373297,11845.3188578565,746,308,1,eL2/3
476,1950.75352399946,10003.2229524543,750,317,2,eL4
477,1958.25699728489,10363.7487011028,631,325,2,eL4
478,1963.07428015564,14035.6626848249,691,346,1,eL2/3
479,1952.96994991653,16521.5913559636,313,159,6,Smc
480,1953.50101575377,15950.6181532447,727,347,15,Reln
481,1964.77837233059,4857.38570803133,598,300,5,eL6-2
482,1962.53107425073,7572.62490211433,632,290,13,PVALB
